question_id,skill_id,base_difficulty
q_var_1,skill_variables,1
q_var_2,skill_variables,1
q_var_3,skill_variables,2
q_var_4,skill_variables,1
q_var_5,skill_variables,1
q_cond_1,skill_conditionals,1
q_cond_2,skill_conditionals,2
q_cond_3,skill_conditionals,3
q_cond_4,skill_conditionals,1
q_cond_5,skill_conditionals,1
q_cond_6,skill_conditionals,1
q_loop_1,skill_loops,1
q_loop_2,skill_loops,2
q_loop_3,skill_loops,2
q_loop_4,skill_loops,3
q_loop_5,skill_loops,1
q_loop_6,skill_loops,1
q_func_1,skill_functions,2
q_func_2,skill_functions,2
q_func_3,skill_functions,3
q_func_4,skill_functions,1
q_func_5,skill_functions,1
q_list_1,skill_lists,1
q_list_2,skill_lists,1
q_list_3,skill_lists,2
q_list_4,skill_lists,1
q_list_5,skill_lists,1
